Release Date,Observation Date,Index M
"Jan 01, 1970 (Dec)",Dec-69,52
"Feb 01, 1970 (Jan)",Jan-70,48.7
"Mar 01, 1970 (Feb)",Feb-70,47.4
"Apr 01, 1970 (Mar)",Mar-70,46.9
"May 01, 1970 (Apr)",Apr-70,45
"Jun 01, 1970 (May)",May-70,47.2
"Jul 01, 1970 (Jun)",Jun-70,51.1
"Aug 01, 1970 (Jul)",Jul-70,49.5
"Sep 01, 1970 (Aug)",Aug-70,47.3
"Oct 01, 1970 (Sep)",Sep-70,44.1
"Nov 01, 1970 (Oct)",Oct-70,42.4
"Dec 01, 1970 (Nov)",Nov-70,39.7
"Jan 01, 1971 (Dec)",Dec-70,45.4
"Feb 01, 1971 (Jan)",Jan-71,47.9
"Mar 01, 1971 (Feb)",Feb-71,54.8
"Apr 01, 1971 (Mar)",Mar-71,51.2
"May 01, 1971 (Apr)",Apr-71,54.5
"Jun 01, 1971 (May)",May-71,54.2
"Jul 01, 1971 (Jun)",Jun-71,53.8
"Aug 01, 1971 (Jul)",Jul-71,54.4
"Sep 01, 1971 (Aug)",Aug-71,53.6
"Oct 01, 1971 (Sep)",Sep-71,55.1
"Nov 01, 1971 (Oct)",Oct-71,55
"Dec 01, 1971 (Nov)",Nov-71,52.3
"Jan 01, 1972 (Dec)",Dec-71,57.6
"Feb 01, 1972 (Jan)",Jan-72,59.6
"Mar 01, 1972 (Feb)",Feb-72,60.6
"Apr 01, 1972 (Mar)",Mar-72,59.8
"May 01, 1972 (Apr)",Apr-72,59.3
"Jun 01, 1972 (May)",May-72,61.4
"Jul 01, 1972 (Jun)",Jun-72,58.6
"Aug 01, 1972 (Jul)",Jul-72,60.1
"Sep 01, 1972 (Aug)",Aug-72,61.7
"Oct 01, 1972 (Sep)",Sep-72,65.1
"Nov 01, 1972 (Oct)",Oct-72,67
"Dec 01, 1972 (Nov)",Nov-72,69.9
"Jan 01, 1973 (Dec)",Dec-72,70.5
"Feb 01, 1973 (Jan)",Jan-73,72.1
"Mar 01, 1973 (Feb)",Feb-73,69.6
"Apr 01, 1973 (Mar)",Mar-73,69.6
"May 01, 1973 (Apr)",Apr-73,67.7
"Jun 01, 1973 (May)",May-73,64.8
"Jul 01, 1973 (Jun)",Jun-73,65
"Aug 01, 1973 (Jul)",Jul-73,57.8
"Sep 01, 1973 (Aug)",Aug-73,62.7
"Oct 01, 1973 (Sep)",Sep-73,63.5
"Nov 01, 1973 (Oct)",Oct-73,66.2
"Dec 01, 1973 (Nov)",Nov-73,68.1
"Jan 01, 1974 (Dec)",Dec-73,63.6
"Feb 01, 1974 (Jan)",Jan-74,62.1
"Mar 01, 1974 (Feb)",Feb-74,58.6
"Apr 01, 1974 (Mar)",Mar-74,61.8
"May 01, 1974 (Apr)",Apr-74,59.9
"Jun 01, 1974 (May)",May-74,55.7
"Jul 01, 1974 (Jun)",Jun-74,54.7
"Aug 01, 1974 (Jul)",Jul-74,54.8
"Sep 01, 1974 (Aug)",Aug-74,52.9
"Oct 01, 1974 (Sep)",Sep-74,46.2
"Nov 01, 1974 (Oct)",Oct-74,42.7
"Dec 01, 1974 (Nov)",Nov-74,37.9
"Jan 01, 1975 (Dec)",Dec-74,30.9
"Feb 01, 1975 (Jan)",Jan-75,30.7
"Mar 01, 1975 (Feb)",Feb-75,34.4
"Apr 01, 1975 (Mar)",Mar-75,31.6
"May 01, 1975 (Apr)",Apr-75,37.5
"Jun 01, 1975 (May)",May-75,41.2
"Jul 01, 1975 (Jun)",Jun-75,45.1
"Aug 01, 1975 (Jul)",Jul-75,47.2
"Sep 01, 1975 (Aug)",Aug-75,51.4
"Oct 01, 1975 (Sep)",Sep-75,54.4
"Nov 01, 1975 (Oct)",Oct-75,55.5
"Dec 01, 1975 (Nov)",Nov-75,54.5
"Jan 01, 1976 (Dec)",Dec-75,54.9
"Feb 01, 1976 (Jan)",Jan-76,58.8
"Mar 01, 1976 (Feb)",Feb-76,61.5
"Apr 01, 1976 (Mar)",Mar-76,58.4
"May 01, 1976 (Apr)",Apr-76,60.6
"Jun 01, 1976 (May)",May-76,58.8
"Jul 01, 1976 (Jun)",Jun-76,58.2
"Aug 01, 1976 (Jul)",Jul-76,55.9
"Sep 01, 1976 (Aug)",Aug-76,54.5
"Oct 01, 1976 (Sep)",Sep-76,53.6
"Nov 01, 1976 (Oct)",Oct-76,53.5
"Dec 01, 1976 (Nov)",Nov-76,51.7
"Jan 01, 1977 (Dec)",Dec-76,56.6
"Feb 01, 1977 (Jan)",Jan-77,54.8
"Mar 01, 1977 (Feb)",Feb-77,55
"Apr 01, 1977 (Mar)",Mar-77,58.4
"May 01, 1977 (Apr)",Apr-77,56.9
"Jun 01, 1977 (May)",May-77,59.7
"Jul 01, 1977 (Jun)",Jun-77,56.8
"Aug 01, 1977 (Jul)",Jul-77,57.7
"Sep 01, 1977 (Aug)",Aug-77,54.9
"Oct 01, 1977 (Sep)",Sep-77,53.9
"Nov 01, 1977 (Oct)",Oct-77,55.4
"Dec 01, 1977 (Nov)",Nov-77,56.1
"Jan 01, 1978 (Dec)",Dec-77,59.8
"Feb 01, 1978 (Jan)",Jan-78,57.4
"Mar 01, 1978 (Feb)",Feb-78,55.9
"Apr 01, 1978 (Mar)",Mar-78,55
"May 01, 1978 (Apr)",Apr-78,57.7
"Jun 01, 1978 (May)",May-78,60.2
"Jul 01, 1978 (Jun)",Jun-78,60.5
